Jogador,Clube Origem,Clube Destino
Abner,Juventude U20,EC Juventude
Adriano,Sport U20,Sport Recife
Adriano Martins,Atlético-GO,EC Juventude
Adriel,EC Bahia,Grêmio FBPA
Adriel,EC Bahia,Grêmio FBPA
Adriel,Grêmio FBPA,Athletic
Adryelson,Botafogo FR,Lyon
Adryelson,Lyon,Botafogo FR
Agustín Canobbio,Athletico Paranaense,Fluminense FC
Agustín Giay,San Lorenzo,SE Palmeiras
Agustín Marchesín,Grêmio FBPA,Boca Juniors
Agustín Rogel,Hertha Berlim,SC Internacional
Agustín Sant'Anna,River Plate,RB Bragantino
Alan Benítez,Cerro Porteño,SC Internacional
Alan Empereur,Cuiabá,Mirassol FC
Alan Empereur,Mirassol FC,Cuiabá
Alan Kardec,Atlético Mineiro,Athletico Paranaense
Alan Pedro,CSA,EC Vitória
Alan Pedro,EC Vitória,Altos
Alan Ruiz,Sport Recife,Estrela Amadora
Alejandro Martínez,CA Talleres,Ceará SC
Alerrandro,EC Vitória,RB Bragantino
Alerrandro,EC Vitória,RB Bragantino
Alerrandro,RB Bragantino,CSKA Moscou
Alex,Portuguesa,Santos FC
Alex,Santos FC,Athletic
Alex,Santos FC,Portuguesa
Alex Sandro,Juventus,CR Flamengo
Alex Santana,Athletico Paranaense,SC Corinthians
Alex Silva,Mirassol FC,Água Santa
Alex Teixeira,Sem clube,CR Vasco da Gama
Alex Telles,Al-Nassr,Botafogo FR
Alexander,Bangu,CR Vasco da Gama
Alexander,CR Vasco da Gama,Bangu
Alexander,CR Vasco da Gama,Capital-DF
Alexander,Ypiranga-RS,CR Vasco da Gama
Alexander Aravena,Univ. Católica,Grêmio FBPA
Alexandre Jesus,Botafogo-SP,Fluminense FC
Alexandre Jesus,Fluminense FC,Botafogo-SP
Alexandre Jesus,Fluminense FC,Botafogo-SP
Alexandro Bernabei,Celtic,SC Internacional
Alexandro Bernabei,SC Internacional,Celtic
Alexsander,Fluminense FC,Al-Ahli
Alfredo Morelos,Santos FC,Atl. Nacional
Alison,Santos FC,Londrina
Alisson,Atlético Mineiro,Shakhtar
Alisson Cassiano,Sport Recife,Botafogo-SP
Alisson Santos,EC Vitória,Leiria
Alisson Santos,Figueirense,EC Vitória
Alisson Santos,Leiria,EC Vitória
Allan,Al-Wahda,Botafogo FR
Allan,Palmeiras U20,SE Palmeiras
Allanzinho,Ferroviário,Fortaleza EC
Allyson,Cuiabá,Sport Recife
Allyson,Sport Recife,Botafogo-SP
Allyson,Sport Recife,Guarani
Alysson,Grêmio U20,Grêmio FBPA
Anderson,Cruzeiro EC,Atlético-GO
Andrey,Ceará SC,Coritiba
Andrey,Coritiba,Ceará SC
Andrey Quintino,Inter Limeira,Santos FC
André,Fluminense FC,Wolves
André Cardoso,Bragantino U20,RB Bragantino
André Cardoso,RB Bragantino,Tombense
André Carrillo,Al-Qadsiah,SC Corinthians
André Dhominique,Estrela Amadora,EC Bahia
André Luiz,CR Flamengo,Estrela Amadora
André Luiz,Estrela Amadora,CR Flamengo
André Ramalho,PSV,SC Corinthians
Antonio Galeano,Nacional,Ceará SC
Antônio Carlos,Fluminense FC,Sport
